id,species,observed_on,place_guess,location,user,latitude,longitude,sex,life_stage,url,year
52031630,Northern Diamondback Terrapin,2020-07-05,"New Jersey, US","39.3468248041,-74.5984992379",maggiegoldenberg,39.3468248041,-74.5984992379,female,adult,https://www.inaturalist.org/observations/52031630,2020
49474635,Northern Diamondback Terrapin,2020-06-13,"New Jersey, US","39.3573375288,-74.5245165021",kameckeler,39.3573375288,-74.5245165021,female,adult,https://www.inaturalist.org/observations/49474635,2020
52270646,Northern Diamondback Terrapin,2020-07-07,"New Jersey, US","39.3698916925,-74.5981772422",delaneyspano,39.3698916925,-74.5981772422,female,adult,https://www.inaturalist.org/observations/52270646,2020
52516980,Northern Diamondback Terrapin,2020-07-09,"New Jersey, US","39.7372389673,-74.3428314133",lrburger,39.7372389673,-74.3428314133,female,,https://www.inaturalist.org/observations/52516980,2020
48929490,Northern Diamondback Terrapin,2020-06-08,"New Jersey, US","39.54987778,-74.453577623",msturtz725,39.54987778,-74.453577623,female,,https://www.inaturalist.org/observations/48929490,2020
52691763,Malaclemys terrapin terrapin,2020-07-11,"New Jersey, US","39.6006009547,-74.3612576669",jaburger,39.6006009547,-74.3612576669,female,adult,https://www.inaturalist.org/observations/52691763,2020
60704649,Northern Diamondback Terrapin,2020-05-30,"New Jersey, US","39.1604629284,-74.6640335035",acharalambides,39.1604629284,-74.6640335035,female,,https://www.inaturalist.org/observations/60704649,2020
50584640,Northern Diamondback Terrapin,2020-06-22,"New Jersey, US","39.6195024004,-74.3740561735",jaburger,39.6195024004,-74.3740561735,female,,https://www.inaturalist.org/observations/50584640,2020
50791754,Northern Diamondback Terrapin,2020-06-24,"New Jersey, US","39.6974373338,-74.2919401034",jaburger,39.6974373338,-74.2919401034,female,,https://www.inaturalist.org/observations/50791754,2020
50894847,Northern Diamondback Terrapin,2020-06-25,"New Jersey, US","39.691908637,-74.2864729392",jaburger,39.691908637,-74.2864729392,female,adult,https://www.inaturalist.org/observations/50894847,2020
50895974,Northern Diamondback Terrapin,2020-06-25,"New Jersey, US","39.6336751382,-74.3564294883",kgalasso,39.6336751382,-74.3564294883,female,,https://www.inaturalist.org/observations/50895974,2020
50894381,Northern Diamondback Terrapin,2020-06-25,"New Jersey, US","39.6036615554,-74.3887771206",jaburger,39.6036615554,-74.3887771206,female,,https://www.inaturalist.org/observations/50894381,2020
51251126,Northern Diamondback Terrapin,2020-06-28,"New Jersey, US","39.6528863785,-74.3250904018",jaburger,39.6528863785,-74.3250904018,female,,https://www.inaturalist.org/observations/51251126,2020
51253264,Northern Diamondback Terrapin,2020-06-28,"New Jersey, US","39.6060224952,-74.2465002752",jaburger,39.6060224952,-74.2465002752,female,,https://www.inaturalist.org/observations/51253264,2020
51252846,Northern Diamondback Terrapin,2020-06-28,"New Jersey, US","39.7286718025,-74.2946283415",lrburger,39.7286718025,-74.2946283415,female,,https://www.inaturalist.org/observations/51252846,2020
51698473,Northern Diamondback Terrapin,2020-07-02,"New Jersey, US","39.7930438859,-74.2077811811",jaburger,39.7930438859,-74.2077811811,female,,https://www.inaturalist.org/observations/51698473,2020
52718826,Malaclemys terrapin terrapin,2020-07-11,"New Jersey, US","39.6413426763,-74.2559460267",jaburger,39.6413426763,-74.2559460267,female,adult,https://www.inaturalist.org/observations/52718826,2020
52294814,Northern Diamondback Terrapin,2020-07-07,"New Jersey, US","39.6975726744,-74.232893803",jaburger,39.6975726744,-74.232893803,female,,https://www.inaturalist.org/observations/52294814,2020
52818860,Malaclemys terrapin terrapin,2020-07-12,"New Jersey, US","39.6303829625,-74.2987501042",jaburger,39.6303829625,-74.2987501042,female,,https://www.inaturalist.org/observations/52818860,2020
52719013,Northern Diamondback Terrapin,2020-07-11,"New Jersey, US","39.765179715,-74.354067672",jaburger,39.765179715,-74.354067672,female,,https://www.inaturalist.org/observations/52719013,2020
52718942,Northern Diamondback Terrapin,2020-07-11,"New Jersey, US","39.7908528795,-74.2841714678",jaburger,39.7908528795,-74.2841714678,female,,https://www.inaturalist.org/observations/52718942,2020
51125787,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.4778399865,-74.3895272875",cstipicevic,39.4778399865,-74.3895272875,female,,https://www.inaturalist.org/observations/51125787,2020
50774135,Northern Diamondback Terrapin,2020-06-24,"New Jersey, US","39.3305533993,-74.4973730068",d8nia,39.3305533993,-74.4973730068,female,adult,https://www.inaturalist.org/observations/50774135,2020
50415837,Northern Diamondback Terrapin,2020-06-21,"New Jersey, US","39.362950534,-74.4648185271",maggiegoldenberg,39.362950534,-74.4648185271,female,,https://www.inaturalist.org/observations/50415837,2020
51107462,Northern Diamondback Terrapin,2020-06-27,"New Jersey, US","39.6089120396,-74.2851699037",lrburger,39.6089120396,-74.2851699037,female,,https://www.inaturalist.org/observations/51107462,2020
